Age,Single Life
50,0.046
51,0.046
52,0.046
53,0.046
54,0.046
55,0.046
56,0.0475
57,0.049
58,0.0505
59,0.052000000000000005
60,0.053500000000000006
61,0.055
62,0.0565
63,0.058
64,0.059500000000000004
65,0.060500000000000005
66,0.061000000000000006
67,0.062
68,0.0625
69,0.0635
70,0.0645
71,0.0655
72,0.0665
73,0.0675
74,0.069
75,0.07050000000000001
76,0.07250000000000001
77,0.0745
78,0.0765
79,0.0785
80,0.0795
81,0.0805
82,0.0815
83,0.0825
84,0.0835
85,0.0845
86,0.0855
87,0.08650000000000001
88,0.08750000000000001
89,0.08850000000000001
90,0.0895
